,url,host_type,major_releases
0,deb://Debian/packages/accerciser,deb,0
1,deb://Debian/packages/agtl,deb,0
2,deb://Debian/packages/ajaxterm,deb,0
3,deb://Debian/packages/alacarte,deb,0
4,deb://Debian/packages/angrydd,deb,0
5,deb://Debian/packages/anki,deb,0
6,deb://Debian/packages/ansible,deb,0
7,deb://Debian/packages/apt-clone,deb,0
8,deb://Debian/packages/apt-forktracer,deb,0
9,deb://Debian/packages/apt-listchanges,deb,0
10,deb://Debian/packages/apt-xapian-index,deb,0
11,deb://Debian/packages/aptfs,deb,0
12,deb://Debian/packages/aqemu,deb,0
13,deb://Debian/packages/arandr,deb,0
14,deb://Debian/packages/archivemail,deb,0
15,deb://Debian/packages/ardentryst,deb,0
16,deb://Debian/packages/ariba,deb,0
17,deb://Debian/packages/asciidoc,deb,0
18,deb://Debian/packages/asciinema,deb,0
19,deb://Debian/packages/atftp,deb,0
20,deb://Debian/packages/atheist,deb,0
21,deb://Debian/packages/autojump,deb,0
22,deb://Debian/packages/autopkgtest,deb,0
23,deb://Debian/packages/autorenamer,deb,0
24,deb://Debian/packages/autotrash,deb,0
25,deb://Debian/packages/bambam,deb,0
26,deb://Debian/packages/bdii,deb,0
27,deb://Debian/packages/beets,deb,0
28,deb://Debian/packages/bibus,deb,0
29,deb://Debian/packages/bicyclerepair,deb,0
30,deb://Debian/packages/bittornado,deb,0
31,deb://Debian/packages/bittorrent,deb,0
32,deb://Debian/packages/bkchem,deb,0
33,deb://Debian/packages/bleachbit,deb,0
34,deb://Debian/packages/bley,deb,0
35,deb://Debian/packages/blueproximity,deb,0
36,deb://Debian/packages/bmap-tools,deb,0
37,deb://Debian/packages/boa-constructor,deb,0
38,deb://Debian/packages/bomstrip,deb,0
39,deb://Debian/packages/bouncy,deb,0
40,deb://Debian/packages/bpython,deb,0
41,deb://Debian/packages/bubbros,deb,0
42,deb://Debian/packages/bugs-everywhere,deb,0
43,deb://Debian/packages/bugz,deb,0
44,deb://Debian/packages/buildbot,deb,0
45,deb://Debian/packages/bup,deb,0
46,deb://Debian/packages/bzr,deb,0
47,deb://Debian/packages/bzr-builddeb,deb,0
48,deb://Debian/packages/bzr-email,deb,0
49,deb://Debian/packages/bzr-explorer,deb,0
50,deb://Debian/packages/bzr-loom,deb,0
51,deb://Debian/packages/bzr-search,deb,0
52,deb://Debian/packages/bzr-stats,deb,0
53,deb://Debian/packages/bzr-upload,deb,0
54,deb://Debian/packages/bzr-xmloutput,deb,0
55,deb://Debian/packages/bzrtools,deb,0
56,deb://Debian/packages/caldav-tester,deb,0
57,deb://Debian/packages/calibre,deb,0
58,deb://Debian/packages/cappuccino,deb,0
59,deb://Debian/packages/catfish,deb,0
60,deb://Debian/packages/ccontrol,deb,0
61,deb://Debian/packages/cedar-backup2,deb,0
62,deb://Debian/packages/cedar-backup3,deb,0
63,deb://Debian/packages/cfget,deb,0
64,deb://Debian/packages/cfv,deb,0
65,deb://Debian/packages/check-all-the-things,deb,0
66,deb://Debian/packages/cherrytree,deb,0
67,deb://Debian/packages/childsplay,deb,0
68,deb://Debian/packages/circlator,deb,0
69,deb://Debian/packages/clipf,deb,0
70,deb://Debian/packages/cloudprint,deb,0
71,deb://Debian/packages/codecgraph,deb,0
72,deb://Debian/packages/codespell,deb,0
73,deb://Debian/packages/codeville,deb,0
74,deb://Debian/packages/colortest-python,deb,0
75,deb://Debian/packages/comitup,deb,0
76,deb://Debian/packages/comix,deb,0
77,deb://Debian/packages/command-not-found,deb,0
78,deb://Debian/packages/congruity,deb,0
79,deb://Debian/packages/convertall,deb,0
80,deb://Debian/packages/cplay,deb,0
81,deb://Debian/packages/createrepo,deb,0
82,deb://Debian/packages/cssmin,deb,0
83,deb://Debian/packages/cura,deb,0
84,deb://Debian/packages/cvs2svn,deb,0
85,deb://Debian/packages/cwltool,deb,0
86,deb://Debian/packages/cycle,deb,0
87,deb://Debian/packages/cython,deb,0
