,url,host_type,major_releases,duration,author_count,rev_count,status,project,multi_repo,commits_per_day,commit_freq_above_median
0,deb://Debian/packages/accerciser,deb,0.0,73.0,4.0,1192.0,0.0,accerciser,0,0.5772397094430993,False
1,deb://Debian/packages/agtl,deb,0.0,59.0,2.0,1147.0,1.0,agtl,0,0.6864153201675643,True
2,deb://Debian/packages/ajaxterm,deb,0.0,49.0,2.0,1248.0,1.0,ajaxterm,0,0.9030390738060782,True
3,deb://Debian/packages/alacarte,deb,0.0,71.0,3.0,1242.0,0.0,alacarte,0,0.6213106553276638,False
4,deb://Debian/packages/angrydd,deb,0.0,98.0,3.0,1254.0,1.0,angrydd,0,0.4568306010928962,False
5,deb://Debian/packages/anki,deb,0.0,71.0,2.0,831.0,0.0,anki,0,0.41220238095238093,False
6,deb://Debian/packages/ansible,deb,0.0,41.0,3.0,1185.0,0.0,ansible,1,1.020671834625323,True
7,deb://Debian/packages/apt-clone,deb,0.0,50.0,1.0,1242.0,1.0,apt-clone,0,0.8839857651245552,True
8,deb://Debian/packages/apt-forktracer,deb,0.0,46.0,1.0,1242.0,1.0,apt-forktracer,0,0.9620449264136328,True
9,deb://Debian/packages/apt-listchanges,deb,0.0,71.0,3.0,943.0,0.0,apt-listchanges,0,0.471028971028971,False
10,deb://Debian/packages/apt-xapian-index,deb,0.0,69.0,3.0,1248.0,1.0,apt-xapian-index,0,0.6446280991735537,False
11,deb://Debian/packages/aptfs,deb,0.0,79.0,1.0,1178.0,0.0,aptfs,0,0.528488111260655,False
12,deb://Debian/packages/aqemu,deb,0.0,54.0,1.0,1110.0,0.0,aqemu,0,0.7207792207792207,True
13,deb://Debian/packages/arandr,deb,0.0,60.0,1.0,1236.0,1.0,arandr,0,0.7279151943462897,True
14,deb://Debian/packages/archivemail,deb,0.0,40.0,2.0,1248.0,1.0,archivemail,0,1.0966608084358525,True
15,deb://Debian/packages/ardentryst,deb,0.0,22.0,2.0,1181.0,0.0,ardentryst,0,1.9141004862236628,True
16,deb://Debian/packages/ariba,deb,0.0,12.0,2.0,764.0,0.0,ariba,0,2.2339181286549707,True
17,deb://Debian/packages/asciidoc,deb,0.0,73.0,2.0,1233.0,0.0,asciidoc,0,0.5965166908563135,False
18,deb://Debian/packages/asciinema,deb,0.0,49.0,1.0,805.0,0.0,asciinema,1,0.576234788833214,False
19,deb://Debian/packages/atftp,deb,0.0,64.0,1.0,1248.0,1.0,atftp,0,0.6860912589334799,True
20,deb://Debian/packages/atheist,deb,0.0,45.0,2.0,1242.0,1.0,atheist,0,0.971830985915493,True
21,deb://Debian/packages/autojump,deb,0.0,58.0,1.0,1178.0,0.0,autojump,1,0.7165450121654501,True
22,deb://Debian/packages/autopkgtest,deb,0.0,63.0,3.0,1345.0,0.0,autopkgtest,0,0.7543466068424004,True
23,deb://Debian/packages/autorenamer,deb,0.0,53.0,1.0,1242.0,1.0,autorenamer,0,0.8214285714285714,True
24,deb://Debian/packages/autotrash,deb,0.0,56.0,2.0,1254.0,1.0,autotrash,0,0.7916666666666666,True
25,deb://Debian/packages/bambam,deb,0.0,30.0,1.0,1045.0,1.0,bambam,0,1.2207943925233644,True
26,deb://Debian/packages/bdii,deb,0.0,4.0,1.0,1045.0,0.0,bdii,0,8.931623931623932,True
27,deb://Debian/packages/beets,deb,0.0,68.0,4.0,928.0,0.0,beets,1,0.4835852006253257,False
28,deb://Debian/packages/bibus,deb,0.0,33.0,1.0,972.0,0.0,bibus,0,1.0406852248394005,True
29,deb://Debian/packages/bicyclerepair,deb,0.0,94.0,3.0,1248.0,1.0,bicyclerepair,0,0.47147714393653195,False
30,deb://Debian/packages/bittornado,deb,0.0,96.0,4.0,1242.0,1.0,bittornado,0,0.4588104913188031,False
31,deb://Debian/packages/bittorrent,deb,0.0,53.0,2.0,1236.0,1.0,bittorrent,0,0.8190854870775348,True
32,deb://Debian/packages/bkchem,deb,0.0,48.0,2.0,934.0,0.0,bkchem,0,0.6842490842490843,True
33,deb://Debian/packages/bleachbit,deb,0.0,68.0,3.0,1081.0,0.0,bleachbit,0,0.5624349635796045,False
34,deb://Debian/packages/bley,deb,0.0,0.0,1.0,1242.0,1.0,bley,0,1242.0,True
35,deb://Debian/packages/blueproximity,deb,0.0,0.0,1.0,1146.0,1.0,blueproximity,0,1146.0,True
36,deb://Debian/packages/bmap-tools,deb,0.0,31.0,2.0,630.0,0.0,bmap-tools,0,0.7062780269058296,True
37,deb://Debian/packages/boa-constructor,deb,0.0,57.0,3.0,1248.0,1.0,boa-constructor,0,0.78,True
38,deb://Debian/packages/bomstrip,deb,0.0,71.0,1.0,1047.0,0.0,bomstrip,0,0.5216741405082213,False
39,deb://Debian/packages/bouncy,deb,0.0,86.0,3.0,1182.0,0.0,bouncy,0,0.4882280049566295,False
40,deb://Debian/packages/bpython,deb,0.0,68.0,3.0,1009.0,0.0,bpython,0,0.5227979274611398,False
41,deb://Debian/packages/bubbros,deb,0.0,57.0,2.0,1248.0,1.0,bubbros,0,0.7741935483870968,True
42,deb://Debian/packages/bugs-everywhere,deb,0.0,50.0,2.0,1029.0,1.0,bugs-everywhere,0,0.7287535410764873,True
43,deb://Debian/packages/bugz,deb,0.0,17.0,1.0,1136.0,0.0,bugz,0,2.3136456211812626,True
