,url,max_date,min_date
0,deb://Debian/packages/accerciser,2017-12-13 05:26:58-08:00,2012-04-18 10:06:21-07:00
1,deb://Debian/packages/agtl,2015-08-19 13:36:54-07:00,2011-01-22 04:55:12-08:00
2,deb://Debian/packages/ajaxterm,2015-05-31 10:43:09-07:00,2011-08-19 07:31:06-07:00
3,deb://Debian/packages/alacarte,2017-12-18 18:44:02-08:00,2012-06-29 03:43:50-07:00
4,deb://Debian/packages/angrydd,2016-04-24 12:35:20-07:00,2008-10-19 05:19:40-07:00
5,deb://Debian/packages/anki,2017-12-15 06:45:49-08:00,2012-06-08 17:00:08-07:00
6,deb://Debian/packages/ansible,2017-12-06 11:48:46-08:00,2014-10-02 14:31:12-07:00
7,deb://Debian/packages/apt-clone,2015-11-06 13:48:07-08:00,2012-01-02 08:55:49-08:00
8,deb://Debian/packages/apt-forktracer,2015-06-27 13:35:04-07:00,2011-12-15 11:00:06-08:00
9,deb://Debian/packages/apt-listchanges,2017-12-22 13:07:29-08:00,2012-06-30 03:36:34-07:00
10,deb://Debian/packages/apt-xapian-index,2017-04-16 05:38:29-07:00,2011-12-28 05:34:39-08:00
11,deb://Debian/packages/aptfs,2017-09-09 11:34:37-07:00,2011-08-03 12:09:11-07:00
12,deb://Debian/packages/aqemu,2016-07-25 19:52:31-07:00,2012-05-08 06:57:50-07:00
13,deb://Debian/packages/arandr,2017-01-25 02:38:24-08:00,2012-06-02 07:00:04-07:00
14,deb://Debian/packages/archivemail,2014-08-20 11:13:12-07:00,2011-07-10 05:09:19-07:00
15,deb://Debian/packages/ardentryst,2014-01-15 18:49:05-08:00,2012-05-08 22:18:18-07:00
16,deb://Debian/packages/ariba,2017-11-28 08:01:36-08:00,2016-12-21 11:14:35-08:00
17,deb://Debian/packages/asciidoc,2017-11-26 14:02:14-08:00,2012-03-31 00:38:11-07:00
18,deb://Debian/packages/asciinema,2017-12-25 18:17:58-08:00,2014-02-28 13:15:02-08:00
19,deb://Debian/packages/atftp,2016-09-05 10:00:41-07:00,2011-09-14 08:36:24-07:00
20,deb://Debian/packages/atheist,2015-08-19 13:14:28-07:00,2012-02-19 07:25:45-08:00
21,deb://Debian/packages/autojump,2016-11-24 02:26:43-08:00,2012-05-26 00:38:48-07:00
22,deb://Debian/packages/autopkgtest,2017-12-18 04:01:29-08:00,2013-01-31 01:31:56-08:00
23,deb://Debian/packages/autorenamer,2016-03-02 08:23:22-08:00,2012-01-11 14:40:24-08:00
24,deb://Debian/packages/autotrash,2015-08-19 11:22:58-07:00,2011-04-18 12:08:22-07:00
25,deb://Debian/packages/bambam,2016-11-13 23:15:03-08:00,2014-07-12 12:18:28-07:00
26,deb://Debian/packages/bdii,2014-10-14 05:38:05-07:00,2014-06-20 02:04:19-07:00
27,deb://Debian/packages/beets,2017-09-04 11:26:49-07:00,2012-06-03 11:29:43-07:00
28,deb://Debian/packages/bibus,2014-09-02 12:54:07-07:00,2012-02-12 08:33:09-08:00
29,deb://Debian/packages/bicyclerepair,2016-12-18 18:23:08-08:00,2009-09-19 22:40:53-07:00
30,deb://Debian/packages/bittornado,2017-08-18 09:16:55-07:00,2010-03-21 14:36:30-07:00
31,deb://Debian/packages/bittorrent,2016-01-10 09:10:40-08:00,2011-11-23 20:45:41-08:00
32,deb://Debian/packages/bkchem,2015-08-21 06:22:21-07:00,2011-11-25 16:04:45-08:00
33,deb://Debian/packages/bleachbit,2017-08-30 01:08:24-07:00,2012-05-26 09:28:15-07:00
34,deb://Debian/packages/bley,2015-01-08 03:18:35-08:00,2015-01-08 00:47:58-08:00
35,deb://Debian/packages/blueproximity,2011-11-27 11:44:20-08:00,2011-11-27 11:44:20-08:00
36,deb://Debian/packages/bmap-tools,2016-11-11 06:17:42-08:00,2014-06-03 07:37:17-07:00
37,deb://Debian/packages/boa-constructor,2016-03-25 07:10:43-07:00,2011-11-07 15:24:34-08:00
38,deb://Debian/packages/bomstrip,2017-01-09 12:03:24-08:00,2011-07-14 09:04:00-07:00
39,deb://Debian/packages/bouncy,2015-11-05 08:23:37-08:00,2009-03-20 12:21:49-07:00
40,deb://Debian/packages/bpython,2017-07-19 11:19:27-07:00,2012-04-07 10:31:00-07:00
41,deb://Debian/packages/bubbros,2014-05-13 04:51:30-07:00,2009-12-13 07:11:30-08:00
42,deb://Debian/packages/bugs-everywhere,2017-10-18 12:44:33-07:00,2013-12-06 18:16:46-08:00
43,deb://Debian/packages/bugz,2013-05-11 03:54:45-07:00,2012-01-06 21:38:51-08:00
44,deb://Debian/packages/buildbot,2017-12-04 11:10:15-08:00,2012-04-25 14:02:36-07:00
45,deb://Debian/packages/bup,2017-04-01 11:38:19-07:00,2013-03-18 00:49:50-07:00
46,deb://Debian/packages/bzr,2017-12-08 18:52:47-08:00,2012-06-21 16:28:50-07:00
47,deb://Debian/packages/bzr-builddeb,2016-07-07 06:33:09-07:00,2012-03-19 03:10:21-07:00
48,deb://Debian/packages/bzr-email,2016-07-09 04:22:54-07:00,2012-05-28 14:39:07-07:00
49,deb://Debian/packages/bzr-explorer,2013-09-08 13:01:30-07:00,2012-05-02 22:17:26-07:00
50,deb://Debian/packages/bzr-loom,2013-05-11 16:07:55-07:00,2012-04-01 07:26:31-07:00
51,deb://Debian/packages/bzr-search,2017-06-11 06:44:38-07:00,2012-05-28 14:26:33-07:00
52,deb://Debian/packages/bzr-stats,2017-01-29 14:08:35-08:00,2012-08-27 23:57:29-07:00
53,deb://Debian/packages/bzr-upload,2016-02-15 03:31:19-08:00,2012-05-28 14:25:49-07:00
54,deb://Debian/packages/bzr-xmloutput,2014-07-05 19:57:03-07:00,2012-05-28 15:02:20-07:00
55,deb://Debian/packages/bzrtools,2016-02-12 11:57:32-08:00,2012-04-13 03:06:17-07:00
56,deb://Debian/packages/caldav-tester,2016-12-29 00:20:12-08:00,2016-12-29 00:20:12-08:00
57,deb://Debian/packages/calibre,2017-12-15 13:51:20-08:00,2013-01-08 23:12:30-08:00
58,deb://Debian/packages/cappuccino,2017-11-06 11:25:01-08:00,2010-03-01 04:14:53-08:00
59,deb://Debian/packages/catfish,2014-09-21 15:03:08-07:00,2014-05-02 07:20:45-07:00
60,deb://Debian/packages/ccontrol,2017-07-24 19:02:29-07:00,2011-11-27 03:19:11-08:00
61,deb://Debian/packages/cedar-backup2,2017-11-11 09:25:09-08:00,2012-03-12 10:05:20-07:00
62,deb://Debian/packages/cedar-backup3,2017-11-12 11:24:27-08:00,2016-09-05 11:27:20-07:00
63,deb://Debian/packages/cfget,2014-11-15 06:56:38-08:00,2010-12-10 06:07:13-08:00
64,deb://Debian/packages/cfv,2012-05-10 11:39:46-07:00,2012-05-10 11:39:46-07:00
65,deb://Debian/packages/check-all-the-things,2017-05-20 02:33:18-07:00,2017-05-20 02:33:18-07:00
66,deb://Debian/packages/cherrytree,2016-10-24 21:48:13-07:00,2012-05-03 22:53:41-07:00
67,deb://Debian/packages/childsplay,2016-07-23 18:56:40-07:00,2011-09-27 06:51:32-07:00
68,deb://Debian/packages/circlator,2017-12-02 07:48:41-08:00,2016-10-31 21:57:13-07:00
69,deb://Debian/packages/clipf,2016-09-25 11:22:16-07:00,2009-06-25 07:40:41-07:00
70,deb://Debian/packages/cloudprint,2017-11-18 20:57:43-08:00,2014-05-10 21:21:28-07:00
71,deb://Debian/packages/codecgraph,2015-06-05 08:01:13-07:00,2012-02-06 23:05:39-08:00
72,deb://Debian/packages/codespell,2015-06-24 08:07:13-07:00,2014-05-08 05:41:12-07:00
73,deb://Debian/packages/codeville,2015-08-19 13:43:30-07:00,2011-03-02 06:54:18-08:00
74,deb://Debian/packages/colortest-python,2013-08-14 23:55:30-07:00,2012-06-15 03:34:43-07:00
75,deb://Debian/packages/comitup,2017-11-13 18:24:04-08:00,2017-01-23 18:46:58-08:00
76,deb://Debian/packages/comix,2016-02-24 04:37:51-08:00,2009-04-07 16:33:59-07:00
77,deb://Debian/packages/command-not-found,2016-11-15 11:39:52-08:00,2009-11-02 11:43:12-08:00
78,deb://Debian/packages/congruity,2016-04-11 18:01:29-07:00,2011-03-30 14:01:31-07:00
79,deb://Debian/packages/convertall,2016-03-28 12:52:18-07:00,2008-07-26 03:13:52-07:00
80,deb://Debian/packages/cplay,2016-06-19 07:03:24-07:00,2005-09-13 12:47:06-07:00
81,deb://Debian/packages/createrepo,2014-02-06 07:07:19-08:00,2007-12-17 00:28:48-08:00
82,deb://Debian/packages/cssmin,2016-12-02 04:58:53-08:00,2014-01-10 04:51:34-08:00
83,deb://Debian/packages/cura,2017-12-17 11:42:21-08:00,2017-12-16 22:02:38-08:00
84,deb://Debian/packages/cvs2svn,2017-11-30 11:30:12-08:00,2012-08-25 04:21:49-07:00
85,deb://Debian/packages/cwltool,2017-12-22 00:32:19-08:00,2017-01-14 04:49:30-08:00
86,deb://Debian/packages/cycle,2016-04-21 14:26:11-07:00,2011-11-11 10:28:21-08:00
87,deb://Debian/packages/cython,2017-11-07 03:28:03-08:00,2012-01-07 09:32:25-08:00
88,deb://Debian/packages/d-feet,2017-11-26 06:06:12-08:00,2011-11-14 13:35:45-08:00
89,deb://Debian/packages/darcsweb,2014-12-07 08:39:05-08:00,2011-02-25 23:42:53-08:00
90,deb://Debian/packages/dctrl2xml,2017-07-24 21:18:21-07:00,2010-12-12 03:27:38-08:00
91,deb://Debian/packages/debdelta,2017-10-12 03:41:46-07:00,2012-11-07 04:31:31-08:00
92,deb://Debian/packages/debian-goodies,2017-11-23 20:05:49-08:00,2012-06-15 19:22:24-07:00
93,deb://Debian/packages/debomatic,2017-09-18 11:09:08-07:00,2012-05-26 09:37:51-07:00
94,deb://Debian/packages/debootstrap,2017-12-07 00:25:07-08:00,2014-11-01 05:51:06-07:00
95,deb://Debian/packages/debsecan,2017-07-08 13:52:33-07:00,2012-03-27 22:38:20-07:00
