,url,rev_count
0,deb://Debian/packages/accerciser,358
1,deb://Debian/packages/alacarte,347
2,deb://Debian/packages/anki,192
3,deb://Debian/packages/ansible,496
4,deb://Debian/packages/apt-listchanges,337
5,deb://Debian/packages/aptfs,64
6,deb://Debian/packages/aqemu,129
7,deb://Debian/packages/ardentryst,67
8,deb://Debian/packages/ariba,383
9,deb://Debian/packages/asciidoc,377
10,deb://Debian/packages/asciinema,333
11,deb://Debian/packages/autojump,64
12,deb://Debian/packages/autopkgtest,558
13,deb://Debian/packages/bdii,209
14,deb://Debian/packages/beets,314
15,deb://Debian/packages/bibus,276
16,deb://Debian/packages/bkchem,308
17,deb://Debian/packages/bleachbit,167
18,deb://Debian/packages/bmap-tools,215
19,deb://Debian/packages/bomstrip,283
20,deb://Debian/packages/bouncy,66
21,deb://Debian/packages/bpython,239
22,deb://Debian/packages/bugz,118
23,deb://Debian/packages/buildbot,264
24,deb://Debian/packages/bzr,953
25,deb://Debian/packages/bzr-email,76
26,deb://Debian/packages/bzr-stats,76
27,deb://Debian/packages/bzr-upload,76
28,deb://Debian/packages/bzrtools,76
29,deb://Debian/packages/calibre,620
30,deb://Debian/packages/cappuccino,521
31,deb://Debian/packages/catfish,230
32,deb://Debian/packages/cedar-backup2,406
33,deb://Debian/packages/cedar-backup3,406
34,deb://Debian/packages/cherrytree,153
35,deb://Debian/packages/childsplay,98
36,deb://Debian/packages/circlator,376
37,deb://Debian/packages/clipf,257
38,deb://Debian/packages/cloudprint,402
39,deb://Debian/packages/codespell,195
40,deb://Debian/packages/comitup,407
41,deb://Debian/packages/congruity,80
42,deb://Debian/packages/convertall,124
43,deb://Debian/packages/cplay,122
44,deb://Debian/packages/cssmin,211
45,deb://Debian/packages/cura,350
46,deb://Debian/packages/cvs2svn,379
47,deb://Debian/packages/cwltool,341
48,deb://Debian/packages/cycle,258
49,deb://Debian/packages/cython,416
50,deb://Debian/packages/d-feet,387
51,deb://Debian/packages/debdelta,129
52,deb://Debian/packages/debian-goodies,402
53,deb://Debian/packages/debomatic,303
54,deb://Debian/packages/debootstrap,573
55,deb://Debian/packages/debtags,312
56,deb://Debian/packages/deheader,99
57,deb://Debian/packages/designate,369
58,deb://Debian/packages/dh-python,201
59,deb://Debian/packages/diffoscope,496
60,deb://Debian/packages/django-testscenarios,507
61,deb://Debian/packages/djvusmooth,197
62,deb://Debian/packages/doclifter,68
63,deb://Debian/packages/dput,217
64,deb://Debian/packages/dtc-xen,239
65,deb://Debian/packages/duplicity,323
66,deb://Debian/packages/editmoin,93
67,deb://Debian/packages/electrum,495
68,deb://Debian/packages/enjarify,157
69,deb://Debian/packages/eog-plugins,360
70,deb://Debian/packages/eric,381
71,deb://Debian/packages/expeyes,545
72,deb://Debian/packages/eyed3,408
73,deb://Debian/packages/fail2ban,278
74,deb://Debian/packages/fastaq,372
75,deb://Debian/packages/fiona,451
76,deb://Debian/packages/fonttools,402
77,deb://Debian/packages/fontypython,287
78,deb://Debian/packages/frescobaldi,93
79,deb://Debian/packages/fslint,108
80,deb://Debian/packages/gajim,587
81,deb://Debian/packages/galileo,408
82,deb://Debian/packages/galternatives,263
83,deb://Debian/packages/gambc,159
84,deb://Debian/packages/game-data-packager,369
85,deb://Debian/packages/ganeti-instance-debootstrap,212
86,deb://Debian/packages/ganyremote,251
87,deb://Debian/packages/gaupol,404
88,deb://Debian/packages/gausssum,89
89,deb://Debian/packages/gcp,234
90,deb://Debian/packages/gdebi,293
91,deb://Debian/packages/geophar,183
92,deb://Debian/packages/getmail,346
93,deb://Debian/packages/gimp-plugin-registry,114
94,deb://Debian/packages/gjots2,85
95,deb://Debian/packages/glance,377
96,deb://Debian/packages/glances,359
97,deb://Debian/packages/gnome-boxes,385
98,deb://Debian/packages/gnome-gmail,377
99,deb://Debian/packages/gnome-mousetrap,309
100,deb://Debian/packages/gnome-music,378
101,deb://Debian/packages/gnome-sudoku,378
102,deb://Debian/packages/gnumed-client,423
103,deb://Debian/packages/goobook,213
104,deb://Debian/packages/goopg,350
105,deb://Debian/packages/gourmet,313
106,deb://Debian/packages/gpodder,269
107,deb://Debian/packages/gramps,447
108,deb://Debian/packages/grass,424
109,deb://Debian/packages/grc,95
110,deb://Debian/packages/gtimelog,108
111,deb://Debian/packages/heartbeat,314
112,deb://Debian/packages/hplip,521
113,deb://Debian/packages/i18nspector,157
114,deb://Debian/packages/ibus-anthy,388
115,deb://Debian/packages/ibus-hangul,354
116,deb://Debian/packages/ibus-skk,49
117,deb://Debian/packages/icdiff,357
118,deb://Debian/packages/imposm,19
119,deb://Debian/packages/impressive,345
120,deb://Debian/packages/inosync,219
121,deb://Debian/packages/iotop,99
122,deb://Debian/packages/isenkram,168
123,deb://Debian/packages/isoquery,281
124,deb://Debian/packages/isrcsubmit,112
125,deb://Debian/packages/itstool,403
126,deb://Debian/packages/iva,262
127,deb://Debian/packages/jupyter-notebook,405
128,deb://Debian/packages/kanyremote,251
129,deb://Debian/packages/keystone,411
130,deb://Debian/packages/khmer,266
131,deb://Debian/packages/klaus,39
132,deb://Debian/packages/kupfer,3
133,deb://Debian/packages/lava-tool,303
134,deb://Debian/packages/lavacli,314
135,deb://Debian/packages/lazygal,88
136,deb://Debian/packages/ldtp,395
137,deb://Debian/packages/lilypond,500
138,deb://Debian/packages/linkchecker,409
139,deb://Debian/packages/loook,415
140,deb://Debian/packages/lxc,451
141,deb://Debian/packages/mailman,563
142,deb://Debian/packages/mandos,243
143,deb://Debian/packages/mapproxy,662
144,deb://Debian/packages/matrix-synapse,155
145,deb://Debian/packages/meld,353
146,deb://Debian/packages/mercurial,464
147,deb://Debian/packages/meson,371
148,deb://Debian/packages/mgltools-utpackages,321
149,deb://Debian/packages/mnemosyne,76
150,deb://Debian/packages/mobyle,350
151,deb://Debian/packages/mopidy,93
152,deb://Debian/packages/mpd-sima,93
153,deb://Debian/packages/mpdris2,360
154,deb://Debian/packages/nagstamon,394
155,deb://Debian/packages/nfoview,316
156,deb://Debian/packages/nik4,381
157,deb://Debian/packages/nvidia-cg-toolkit,407
158,deb://Debian/packages/ocrodjvu,195
159,deb://Debian/packages/offlineimap,341
160,deb://Debian/packages/oneisenough,89
161,deb://Debian/packages/onioncircuits,157
162,deb://Debian/packages/open-vm-tools,570
163,deb://Debian/packages/opendict,375
164,deb://Debian/packages/opgpcard,64
165,deb://Debian/packages/osc,404
166,deb://Debian/packages/packagekit,230
167,deb://Debian/packages/pagekite,151
168,deb://Debian/packages/painintheapt,243
169,deb://Debian/packages/pastebinit,120
170,deb://Debian/packages/pathological,64
171,deb://Debian/packages/pdfposter,8
172,deb://Debian/packages/pgloader,57
173,deb://Debian/packages/pitivi,147
174,deb://Debian/packages/piuparts,551
175,deb://Debian/packages/pius,34
176,deb://Debian/packages/plasmidomics,406
177,deb://Debian/packages/playitslowly,64
178,deb://Debian/packages/pondus,168
179,deb://Debian/packages/postnews,325
180,deb://Debian/packages/pybik,45
181,deb://Debian/packages/pyblosxom,1
182,deb://Debian/packages/pychecker,406
183,deb://Debian/packages/pycode-browser,406
184,deb://Debian/packages/pycsw,144
185,deb://Debian/packages/pyflakes,364
186,deb://Debian/packages/pylint,364
187,deb://Debian/packages/pymol,99
188,deb://Debian/packages/pyosmium,235
189,deb://Debian/packages/pypy,299
190,deb://Debian/packages/pyro,275
191,deb://Debian/packages/python-aalib,225
192,deb://Debian/packages/python-affine,171
193,deb://Debian/packages/python-amqp,412
194,deb://Debian/packages/python-aodhclient,229
195,deb://Debian/packages/python-apt,208
196,deb://Debian/packages/python-autobahn,219
197,deb://Debian/packages/python-automaton,226
198,deb://Debian/packages/python-barbicanclient,229
199,deb://Debian/packages/python-bashate,403
200,deb://Debian/packages/python-biopython,574
201,deb://Debian/packages/python-castellan,227
202,deb://Debian/packages/python-ceilometerclient,408
203,deb://Debian/packages/python-ceilometermiddleware,227
204,deb://Debian/packages/python-cinderclient,229
205,deb://Debian/packages/python-click-plugins,8
206,deb://Debian/packages/python-cliff,205
207,deb://Debian/packages/python-cligj,8
208,deb://Debian/packages/python-cogent,64
209,deb://Debian/packages/python-concurrent.futures,373
210,deb://Debian/packages/python-congressclient,229
211,deb://Debian/packages/python-coverage,286
212,deb://Debian/packages/python-cpl,2
213,deb://Debian/packages/python-crcmod,71
214,deb://Debian/packages/python-crypto,472
215,deb://Debian/packages/python-csb,406
216,deb://Debian/packages/python-daemon,211
217,deb://Debian/packages/python-daemonize,145
218,deb://Debian/packages/python-ddt,206
219,deb://Debian/packages/python-debian,233
220,deb://Debian/packages/python-debianbts,231
221,deb://Debian/packages/python-debtcollector,206
222,deb://Debian/packages/python-decorator,67
223,deb://Debian/packages/python-descartes,8
224,deb://Debian/packages/python-designateclient,215
225,deb://Debian/packages/python-dib-utils,145
226,deb://Debian/packages/python-diff-match-patch,194
227,deb://Debian/packages/python-diskimage-builder,221
228,deb://Debian/packages/python-django,860
229,deb://Debian/packages/python-django-appconf,406
230,deb://Debian/packages/python-django-babel,205
231,deb://Debian/packages/python-django-compressor,397
232,deb://Debian/packages/python-django-pyscss,407
233,deb://Debian/packages/python-dns,159
234,deb://Debian/packages/python-doc8,89
235,deb://Debian/packages/python-docutils,312
236,deb://Debian/packages/python-dogpile.cache,50
237,deb://Debian/packages/python-dsv,343
238,deb://Debian/packages/python-editor,254
239,deb://Debian/packages/python-eventlet,563
240,deb://Debian/packages/python-extras,145
241,deb://Debian/packages/python-fastimport,121
242,deb://Debian/packages/python-fitbit,408
243,deb://Debian/packages/python-formencode,2
244,deb://Debian/packages/python-funcsigs,211
245,deb://Debian/packages/python-fuse,233
246,deb://Debian/packages/python-futurist,230
247,deb://Debian/packages/python-gabbi,222
248,deb://Debian/packages/python-gammu,530
249,deb://Debian/packages/python-gear,406
250,deb://Debian/packages/python-geojson,64
251,deb://Debian/packages/python-geopandas,33
252,deb://Debian/packages/python-git,282
253,deb://Debian/packages/python-glance-store,226
254,deb://Debian/packages/python-glanceclient,215
255,deb://Debian/packages/python-gnocchiclient,227
256,deb://Debian/packages/python-hacking,485
257,deb://Debian/packages/python-heatclient,228
258,deb://Debian/packages/python-hplefthandclient,145
259,deb://Debian/packages/python-html2text,225
260,deb://Debian/packages/python-hurry.filesize,145
261,deb://Debian/packages/python-ironic-inspector-client,228
262,deb://Debian/packages/python-ironic-lib,227
263,deb://Debian/packages/python-ironicclient,219
264,deb://Debian/packages/python-jenkins,215
265,deb://Debian/packages/python-jsonpath-rw,145
266,deb://Debian/packages/python-jsonpath-rw-ext,206
267,deb://Debian/packages/python-jsonrpclib,332
268,deb://Debian/packages/python-jsonschema,406
269,deb://Debian/packages/python-kafka,402
270,deb://Debian/packages/python-keyczar,225
271,deb://Debian/packages/python-keyring,353
272,deb://Debian/packages/python-keystoneauth1,229
273,deb://Debian/packages/python-keystoneclient,229
274,deb://Debian/packages/python-keystonemiddleware,206
275,deb://Debian/packages/python-l20n,223
276,deb://Debian/packages/python-launchpadlib,196
277,deb://Debian/packages/python-ldap,516
278,deb://Debian/packages/python-ldappool,205
279,deb://Debian/packages/python-lesscpy,172
280,deb://Debian/packages/python-magic,275
281,deb://Debian/packages/python-magnumclient,266
282,deb://Debian/packages/python-manilaclient,227
283,deb://Debian/packages/python-mapnik,380
284,deb://Debian/packages/python-mistralclient,215
285,deb://Debian/packages/python-mox3,205
286,deb://Debian/packages/python-mpd,215
287,deb://Debian/packages/python-mpop,204
288,deb://Debian/packages/python-muranoclient,227
289,deb://Debian/packages/python-neovim,218
290,deb://Debian/packages/python-networkx,64
291,deb://Debian/packages/python-neutron-lib,227
292,deb://Debian/packages/python-neutronclient,227
293,deb://Debian/packages/python-nose-exclude,204
294,deb://Debian/packages/python-nose-testconfig,109
295,deb://Debian/packages/python-novaclient,263
296,deb://Debian/packages/python-numpy,432
297,deb://Debian/packages/python-oauth2client,145
298,deb://Debian/packages/python-odf,296
299,deb://Debian/packages/python-openstackclient,263
300,deb://Debian/packages/python-openstackdocstheme,252
301,deb://Debian/packages/python-openstacksdk,228
302,deb://Debian/packages/python-os-brick,226
303,deb://Debian/packages/python-os-client-config,412
304,deb://Debian/packages/python-os-testr,406
